Nombre,Paquete,LOC,Resultado,Linea en clase,Destino
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,(O)configuration.ReportCommandLine$1:<init>()
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,(O)configuration.ReportCommandLine$2:<init>()
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,"(M)configuration.SonarRequestList:execute(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)"
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,(O)utils.CommandLineManager:<init>()
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,(M)utils.CommandLineManager:parse(java.lang.String[])
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,"(M)utils.CommandLineManager:getOptionValue(java.lang.String,java.lang.String)"
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,(S)utils.StringManager:getProperty(java.lang.String)
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,"(M)utils.CommandLineManager:getOptionValue(java.lang.String,java.lang.String)"
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,"(M)utils.CommandLineManager:getOptionValue(java.lang.String,java.lang.String)"
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,(S)utils.StringManager:getProperty(java.lang.String)
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,"(M)utils.CommandLineManager:getOptionValue(java.lang.String,java.lang.String)"
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,"(M)utils.CommandLineManager:getOptionValue(java.lang.String,java.lang.String)"
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,"(M)utils.CommandLineManager:getOptionValue(java.lang.String,java.lang.String)"
M:create(java.lang.String[]),configuration.ReportConfiguration,10,configuration.ReportConfiguration,29,"(O)configuration.ReportConfiguration:<init>(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)"
M:getSonarQubeServer(),configuration.SonarQubeServer,2,configuration.SonarQubeServer,21,(O)configuration.SonarQubeServer:<init>()
"M:execute(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",configuration.SonarRequestList,16,void,51,(S)configuration.SonarQubeServer:getSonarQubeServer()
"M:execute(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",configuration.SonarRequestList,16,void,51,"(M)configuration.SonarQubeServer:init(java.lang.String,boolean,int,int,int,int,boolean)"
"M:execute(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",configuration.SonarRequestList,16,void,51,(O)factories.ReportModelFactory:<init>()
"M:execute(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",configuration.SonarRequestList,16,void,51,(O)factories.ReportModelFactory:<init>(configuration.ReportConfiguration)
"M:execute(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",configuration.SonarRequestList,16,void,51,(M)factories.ReportModelFactory:create()
"M:execute(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",configuration.SonarRequestList,16,void,51,(O)factories.ReportFactory:<init>(configuration.ExportConfiguration)
"M:execute(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",configuration.SonarRequestList,16,void,51,(M)factories.ReportFactory:createFiles(java.util.ArrayList)
M:createReportConfigurationList(java.util.ArrayList),configuration.SonarRequestList,6,java.util.ArrayList,76,"(O)configuration.ReportConfiguration:<init>(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)"
M:<clinit>(),configuration.SonarRequestList,0,void,32,(O)configuration.SonarRequestList:<init>()
M:<init>(configuration.ExportConfiguration),exporters.CSVExporter,2,void,26,(O)exporters.AbstractExporter:<init>(configuration.ExportConfiguration)
"M:create(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,21,java.io.File,52,(M)configuration.ExportConfiguration:getOutput()
"M:create(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,21,java.io.File,52,(M)models.Report:getProjectName()
"M:create(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,21,java.io.File,52,(M)models.Report:getProjectAuthor()
"M:create(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,21,java.io.File,52,(M)models.Report:getProjectDate()
"M:create(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,21,java.io.File,52,(M)models.Report:getBranch()
"M:create(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,21,java.io.File,52,(M)models.Report:getComponentKey()
"M:create(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,21,java.io.File,52,(M)models.Report:getLanguageList()
"M:create(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,21,java.io.File,52,(M)models.Report:getMetricList()
"M:createMeasureReport(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,34,void,80,(M)models.Report:getMeasureList()
"M:createMeasureReport(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,34,void,80,(M)models.Measure:getValue()
"M:createMeasureReport(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,34,void,80,(M)models.Measure:getKey()
"M:createMeasureReport(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,34,void,80,(M)models.Report:getMeasureList()
"M:createMeasureReport(java.util.ArrayList,java.lang.String)",exporters.CSVExporter,34,void,80,(M)exporters.CSVExporter:addToList(models.Measure)
M:addToList(models.Measure),exporters.CSVExporter,3,void,126,(M)models.Measure:getKey()
M:addToList(models.Measure),exporters.CSVExporter,3,void,126,(M)models.Measure:getValue()
M:createFiles(java.util.ArrayList),factories.ReportFactory,4,void,50,(M)configuration.ExportConfiguration:isEnableCSV()
M:createFiles(java.util.ArrayList),factories.ReportFactory,4,void,50,(O)exporters.CSVExporter:<init>(configuration.ExportConfiguration)
M:createFiles(java.util.ArrayList),factories.ReportFactory,4,void,50,(M)configuration.ExportConfiguration:getOutput()
M:createFiles(java.util.ArrayList),factories.ReportFactory,4,void,50,(M)models.Report:getProjectName()
M:createFiles(java.util.ArrayList),factories.ReportFactory,4,void,50,"(S)factories.ReportFactory:formatFilename(java.lang.String,java.lang.String,java.lang.String)"
M:createFiles(java.util.ArrayList),factories.ReportFactory,4,void,50,"(M)exporters.CSVExporter:create(java.util.ArrayList,java.lang.String)"
"M:formatFilename(java.lang.String,java.lang.String,java.lang.String)",factories.ReportFactory,4,java.lang.String,60,(S)utils.StringManager:getProperty(java.lang.String)
M:create(),factories.ReportModelFactory,12,models.Report,30,(S)configuration.SonarRequestList:getSonarRequestList()
M:create(),factories.ReportModelFactory,12,models.Report,30,(O)factories.ProviderFactory:<init>(configuration.ReportConfiguration)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)factories.ProviderFactory:create(java.lang.Class)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)factories.ProviderFactory:create(java.lang.Class)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)factories.ProviderFactory:create(java.lang.Class)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)factories.ProviderFactory:create(java.lang.Class)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)configuration.ReportConfiguration:getAuthor()
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)configuration.ReportConfiguration:getVersion()
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)configuration.ReportConfiguration:getBranch()
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)configuration.ReportConfiguration:getComponentKey()
M:create(),factories.ReportModelFactory,12,models.Report,30,"(O)models.Report:<init>(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)"
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)providers.LanguageList:getLanguageList()
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)models.Report:setLanguageList(java.util.ArrayList)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)configuration.SonarRequestList:getIssueFilter()
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)providers.IssueList:getIssueList(java.util.ArrayList)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)models.Report:setIssueList(java.util.ArrayList)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)configuration.SonarRequestList:getMetricFilter()
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)providers.MetricList:create(java.util.ArrayList)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)models.Report:setMetricList(java.util.ArrayList)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)providers.MetricList:getIdsAsString()
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)providers.MeasureList:setMetricList(java.lang.String)
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)providers.MeasureList:create()
M:create(),factories.ReportModelFactory,12,models.Report,30,(M)models.Report:setMeasureList(java.util.ArrayList)
M:request(java.lang.String),providers.AbstractProvider,12,com.google.gson.JsonObject,32,(M)providers.AbstractProvider:stringRequest(java.lang.String)
M:request(java.lang.String),providers.AbstractProvider,12,com.google.gson.JsonObject,32,(M)providers.AbstractProvider:getGson()
M:stringRequest(java.lang.String),providers.AbstractProvider,2,java.lang.String,73,(S)providers.RequestManager:getInstance()
M:stringRequest(java.lang.String),providers.AbstractProvider,2,java.lang.String,73,(M)configuration.ReportConfiguration:getToken()
M:stringRequest(java.lang.String),providers.AbstractProvider,2,java.lang.String,73,"(M)providers.RequestManager:get(java.lang.String,java.lang.String)"
M:<init>(configuration.ReportConfiguration),providers.ComponentList,1,void,19,(O)providers.AbstractProvider:<init>(configuration.ReportConfiguration)
M:execute(),providers.ComponentList,3,java.util.ArrayList,23,(M)configuration.API:getCall()
M:execute(),providers.ComponentList,3,java.util.ArrayList,23,(S)configuration.SonarQubeServer:getSonarQubeServer()
M:execute(),providers.ComponentList,3,java.util.ArrayList,23,(M)configuration.SonarQubeServer:getUrl()
M:execute(),providers.ComponentList,3,java.util.ArrayList,23,(M)configuration.ReportConfiguration:getComponentKey()
M:execute(),providers.ComponentList,3,java.util.ArrayList,23,(M)providers.ComponentList:request(java.lang.String)
M:execute(),providers.ComponentList,3,java.util.ArrayList,23,(M)providers.ComponentList:getGson()
M:<init>(configuration.ReportConfiguration),providers.IssueList,2,void,20,(O)providers.AbstractProvider:<init>(configuration.ReportConfiguration)
M:getIssueList(java.util.ArrayList),providers.IssueList,7,java.util.ArrayList,30,(M)configuration.API:getCall()
M:getIssueList(java.util.ArrayList),providers.IssueList,7,java.util.ArrayList,30,(S)configuration.SonarQubeServer:getSonarQubeServer()
M:getIssueList(java.util.ArrayList),providers.IssueList,7,java.util.ArrayList,30,(M)configuration.SonarQubeServer:getUrl()
M:getIssueList(java.util.ArrayList),providers.IssueList,7,java.util.ArrayList,30,(M)configuration.ReportConfiguration:getComponentKey()
M:getIssueList(java.util.ArrayList),providers.IssueList,7,java.util.ArrayList,30,(M)providers.IssueList:request(java.lang.String)
M:getIssueList(java.util.ArrayList),providers.IssueList,7,java.util.ArrayList,30,(M)providers.IssueList:getGson()
M:toString(),providers.IssueList,4,java.lang.String,49,(M)models.Issue:getKey()
M:toString(),providers.IssueList,4,java.lang.String,49,(M)models.Issue:getMetric()
M:toString(),providers.IssueList,4,java.lang.String,49,(M)models.Issue:getMessage()
M:<init>(configuration.ReportConfiguration),providers.LanguageList,2,void,17,(O)providers.AbstractProvider:<init>(configuration.ReportConfiguration)
M:getLanguageList(),providers.LanguageList,3,java.util.ArrayList,23,(M)configuration.API:getCall()
M:getLanguageList(),providers.LanguageList,3,java.util.ArrayList,23,(S)configuration.SonarQubeServer:getSonarQubeServer()
M:getLanguageList(),providers.LanguageList,3,java.util.ArrayList,23,(M)configuration.SonarQubeServer:getUrl()
M:getLanguageList(),providers.LanguageList,3,java.util.ArrayList,23,(M)providers.LanguageList:request(java.lang.String)
M:getLanguageList(),providers.LanguageList,3,java.util.ArrayList,23,(M)providers.LanguageList:getGson()
M:toString(),providers.LanguageList,4,java.lang.String,33,(M)models.Language:getName()
M:<init>(configuration.ReportConfiguration),providers.MeasureList,1,void,19,(O)providers.AbstractProvider:<init>(configuration.ReportConfiguration)
M:create(),providers.MeasureList,5,java.util.ArrayList,23,(M)configuration.API:getCall()
M:create(),providers.MeasureList,5,java.util.ArrayList,23,(S)configuration.SonarQubeServer:getSonarQubeServer()
M:create(),providers.MeasureList,5,java.util.ArrayList,23,(M)configuration.SonarQubeServer:getUrl()
M:create(),providers.MeasureList,5,java.util.ArrayList,23,(M)configuration.ReportConfiguration:getComponentKey()
M:create(),providers.MeasureList,5,java.util.ArrayList,23,(M)providers.MeasureList:request(java.lang.String)
M:create(),providers.MeasureList,5,java.util.ArrayList,23,(M)providers.MeasureList:getGson()
M:<init>(configuration.ReportConfiguration),providers.MetricList,1,void,17,(O)providers.AbstractProvider:<init>(configuration.ReportConfiguration)
M:create(java.util.ArrayList),providers.MetricList,3,java.util.ArrayList,21,(M)configuration.API:getCall()
M:create(java.util.ArrayList),providers.MetricList,3,java.util.ArrayList,21,(S)configuration.SonarQubeServer:getSonarQubeServer()
M:create(java.util.ArrayList),providers.MetricList,3,java.util.ArrayList,21,(M)configuration.SonarQubeServer:getUrl()
M:create(java.util.ArrayList),providers.MetricList,3,java.util.ArrayList,21,(M)providers.MetricList:request(java.lang.String)
M:create(java.util.ArrayList),providers.MetricList,3,java.util.ArrayList,21,(M)providers.MetricList:getGson()
M:getIdsAsString(),providers.MetricList,5,java.lang.String,29,(M)models.Metric:getKey()
M:getIdsAsString(),providers.MetricList,5,java.lang.String,29,(M)models.Metric:getKey()
M:getInstance(),providers.RequestManager,2,providers.RequestManager,71,(O)providers.RequestManager:<init>()
M:extractBaseUrl(java.lang.String),providers.RequestManager,6,java.lang.String,83,"(S)providers.RequestManager:substringBeforeLast(java.lang.String,java.lang.String)"
"M:substringBeforeLast(java.lang.String,java.lang.String)",providers.RequestManager,5,java.lang.String,98,(S)providers.RequestManager:isEmpty(java.lang.String)
"M:substringBeforeLast(java.lang.String,java.lang.String)",providers.RequestManager,5,java.lang.String,98,(S)providers.RequestManager:isEmpty(java.lang.String)
"M:get(java.lang.String,java.lang.String)",providers.RequestManager,28,java.lang.String,123,(S)providers.RequestManager:extractBaseUrl(java.lang.String)
M:deleteFolder(java.io.File),tools.FileTools,15,void,19,(S)tools.FileTools:deleteFolder(java.io.File)
M:<init>(),utils.CommandLineManager,2,void,68,(O)utils.CommandLineManager:configure()
M:parse(java.lang.String[]),utils.CommandLineManager,13,void,97,(O)utils.CommandLineManager:printHelp()
M:parse(java.lang.String[]),utils.CommandLineManager,13,void,97,(O)utils.CommandLineManager:printHelp()
M:getOptionValue(java.lang.String),utils.CommandLineManager,0,java.lang.String,183,"(M)utils.CommandLineManager:getOptionValue(java.lang.String,java.lang.String)"
M:getInstance(),utils.StringManager,2,utils.StringManager,105,(O)utils.StringManager:<init>()
M:changeLocale(java.lang.String),utils.StringManager,7,void,142,"(S)utils.StringManager:changeLocale(java.lang.String,java.lang.String)"
"M:handle(org.sonar.api.server.ws.Request,org.sonar.api.server.ws.Response)",ws.ExportTask,27,void,44,(S)tools.PluginStringManager:getProperty(java.lang.String)
"M:handle(org.sonar.api.server.ws.Request,org.sonar.api.server.ws.Response)",ws.ExportTask,27,void,44,(S)tools.PluginStringManager:getProperty(java.lang.String)
"M:handle(org.sonar.api.server.ws.Request,org.sonar.api.server.ws.Response)",ws.ExportTask,27,void,44,(S)tools.PluginStringManager:getProperty(java.lang.String)
"M:handle(org.sonar.api.server.ws.Request,org.sonar.api.server.ws.Response)",ws.ExportTask,27,void,44,(S)tools.PluginStringManager:getProperty(java.lang.String)
"M:handle(org.sonar.api.server.ws.Request,org.sonar.api.server.ws.Response)",ws.ExportTask,27,void,44,"(S)configuration.ReportCommandLine:execute(java.lang.String[],java.lang.String[])"
"M:handle(org.sonar.api.server.ws.Request,org.sonar.api.server.ws.Response)",ws.ExportTask,27,void,44,"(S)factories.ReportFactory:formatFilename(java.lang.String,java.lang.String,java.lang.String)"
"M:handle(org.sonar.api.server.ws.Request,org.sonar.api.server.ws.Response)",ws.ExportTask,27,void,44,"(S)tools.ZipFolder:pack(java.lang.String,java.lang.String)"
"M:handle(org.sonar.api.server.ws.Request,org.sonar.api.server.ws.Response)",ws.ExportTask,27,void,44,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:define(org.sonar.api.server.ws.WebService$Context),ws.ReportWs,5,void,25,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:define(org.sonar.api.server.ws.WebService$Context),ws.ReportWs,5,void,25,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:define(org.sonar.api.server.ws.WebService$Context),ws.ReportWs,5,void,25,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:define(org.sonar.api.server.ws.WebService$Context),ws.ReportWs,5,void,25,(O)ws.ReportWs:reportAction(org.sonar.api.server.ws.WebService$NewController)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(O)ws.ExportTask:<init>(org.sonar.api.config.Configuration)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:reportAction(org.sonar.api.server.ws.WebService$NewController),ws.ReportWs,18,void,37,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:define(java.lang.Object),ws.ReportWs,0,void,7,(M)ws.ReportWs:define(org.sonar.api.server.ws.WebService$Context)
M:define(org.sonar.api.web.page.Context),ws.web.ReportPluginPageDefinition,4,void,16,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:define(org.sonar.api.web.page.Context),ws.web.ReportPluginPageDefinition,4,void,16,(S)tools.PluginStringManager:getProperty(java.lang.String)
